Woche,Dez. 2012 - Sep. 2015
2012-12-02 - 2012-12-08,74
2012-12-09 - 2012-12-15,76
2012-12-16 - 2012-12-22,82
2012-12-23 - 2012-12-29,59
2012-12-30 - 2013-01-05,53
2013-01-06 - 2013-01-12,63
2013-01-13 - 2013-01-19,48
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,50
2013-02-03 - 2013-02-09,64
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,60
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,51
2013-03-17 - 2013-03-23,61
2013-03-24 - 2013-03-30,60
2013-03-31 - 2013-04-06,57
2013-04-07 - 2013-04-13,60
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,53
2013-05-05 - 2013-05-11,62
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,64
2013-06-02 - 2013-06-08,55
2013-06-09 - 2013-06-15,57
2013-06-16 - 2013-06-22,69
2013-06-23 - 2013-06-29,58
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,59
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,61
2013-07-28 - 2013-08-03,76
2013-08-04 - 2013-08-10,65
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,63
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,57
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,52
2013-09-22 - 2013-09-28,64
2013-09-29 - 2013-10-05,54
2013-10-06 - 2013-10-12,65
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,68
2013-10-27 - 2013-11-02,61
2013-11-03 - 2013-11-09,70
2013-11-10 - 2013-11-16,55
2013-11-17 - 2013-11-23,68
2013-11-24 - 2013-11-30,66
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,72
2013-12-15 - 2013-12-21,97
2013-12-22 - 2013-12-28,66
2013-12-29 - 2014-01-04,68
2014-01-05 - 2014-01-11,73
2014-01-12 - 2014-01-18,53
2014-01-19 - 2014-01-25,68
2014-01-26 - 2014-02-01,59
2014-02-02 - 2014-02-08,73
2014-02-09 - 2014-02-15,60
2014-02-16 - 2014-02-22,74
2014-02-23 - 2014-03-01,57
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,68
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,68
2014-04-06 - 2014-04-12,59
2014-04-13 - 2014-04-19,77
2014-04-20 - 2014-04-26,59
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,75
2014-05-25 - 2014-05-31,63
2014-06-01 - 2014-06-07,74
2014-06-08 - 2014-06-14,63
2014-06-15 - 2014-06-21,75
2014-06-22 - 2014-06-28,67
2014-06-29 - 2014-07-05,82
2014-07-06 - 2014-07-12,71
2014-07-13 - 2014-07-19,81
2014-07-20 - 2014-07-26,75
2014-07-27 - 2014-08-02,83
2014-08-03 - 2014-08-09,82
2014-08-10 - 2014-08-16,73
2014-08-17 - 2014-08-23,85
2014-08-24 - 2014-08-30,63
2014-08-31 - 2014-09-06,76
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,57
2014-09-28 - 2014-10-04,73
2014-10-05 - 2014-10-11,77
2014-10-12 - 2014-10-18,66
2014-10-19 - 2014-10-25,78
2014-10-26 - 2014-11-01,66
2014-11-02 - 2014-11-08,78
2014-11-09 - 2014-11-15,74
2014-11-16 - 2014-11-22,71
2014-11-23 - 2014-11-29,86
2014-11-30 - 2014-12-06,88
2014-12-07 - 2014-12-13,88
2014-12-14 - 2014-12-20,98
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,77
2015-01-04 - 2015-01-10,76
2015-01-11 - 2015-01-17,75
2015-01-18 - 2015-01-24,65
2015-01-25 - 2015-01-31,86
2015-02-01 - 2015-02-07,74
2015-02-08 - 2015-02-14,71
2015-02-15 - 2015-02-21,77
2015-02-22 - 2015-02-28,69
2015-03-01 - 2015-03-07,74
2015-03-08 - 2015-03-14,65
2015-03-15 - 2015-03-21,78
2015-03-22 - 2015-03-28,67
2015-03-29 - 2015-04-04,79
2015-04-05 - 2015-04-11,68
2015-04-12 - 2015-04-18,77
2015-04-19 - 2015-04-25,67
2015-04-26 - 2015-05-02,80
2015-05-03 - 2015-05-09,82
2015-05-10 - 2015-05-16,73
2015-05-17 - 2015-05-23,80
2015-05-24 - 2015-05-30,78
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,76
2015-06-14 - 2015-06-20,88
2015-06-21 - 2015-06-27,76
2015-06-28 - 2015-07-04,100
2015-07-05 - 2015-07-11,82
2015-07-12 - 2015-07-18,88
2015-07-19 - 2015-07-25,76
2015-07-26 - 2015-08-01,92
2015-08-02 - 2015-08-08,86
2015-08-09 - 2015-08-15,78
2015-08-16 - 2015-08-22,83
2015-08-23 - 2015-08-29,69
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,73
2015-09-13 - 2015-09-19,79
2015-09-20 - 2015-09-26,68
2015-09-27 - 2015-10-03,76
