Woche,Dez. 2012 - Sep. 2015
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,39
2012-12-16 - 2012-12-22,60
2012-12-23 - 2012-12-29,28
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,43
2013-02-17 - 2013-02-23,47
2013-02-24 - 2013-03-02,40
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,54
2013-03-24 - 2013-03-30,53
2013-03-31 - 2013-04-06,45
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,42
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,39
2013-05-05 - 2013-05-11,42
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,45
2013-06-02 - 2013-06-08,40
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,49
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,47
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,36
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,41
2013-08-18 - 2013-08-24,46
2013-08-25 - 2013-08-31,51
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,44
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,44
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,44
2013-11-10 - 2013-11-16,49
2013-11-17 - 2013-11-23,47
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,55
2013-12-08 - 2013-12-14,49
2013-12-15 - 2013-12-21,58
2013-12-22 - 2013-12-28,50
2013-12-29 - 2014-01-04,43
2014-01-05 - 2014-01-11,51
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,55
2014-01-26 - 2014-02-01,49
2014-02-02 - 2014-02-08,53
2014-02-09 - 2014-02-15,38
2014-02-16 - 2014-02-22,51
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,51
2014-03-09 - 2014-03-15,37
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,41
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,40
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,53
2014-05-11 - 2014-05-17,50
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,49
2014-06-01 - 2014-06-07,45
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,42
2014-06-29 - 2014-07-05,49
2014-07-06 - 2014-07-12,46
2014-07-13 - 2014-07-19,67
2014-07-20 - 2014-07-26,52
2014-07-27 - 2014-08-02,70
2014-08-03 - 2014-08-09,64
2014-08-10 - 2014-08-16,65
2014-08-17 - 2014-08-23,51
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,66
2014-09-07 - 2014-09-13,51
2014-09-14 - 2014-09-20,49
2014-09-21 - 2014-09-27,49
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,64
2014-10-12 - 2014-10-18,59
2014-10-19 - 2014-10-25,63
2014-10-26 - 2014-11-01,54
2014-11-02 - 2014-11-08,69
2014-11-09 - 2014-11-15,63
2014-11-16 - 2014-11-22,54
2014-11-23 - 2014-11-29,80
2014-11-30 - 2014-12-06,81
2014-12-07 - 2014-12-13,78
2014-12-14 - 2014-12-20,100
2014-12-21 - 2014-12-27,73
2014-12-28 - 2015-01-03,65
2015-01-04 - 2015-01-10,76
2015-01-11 - 2015-01-17,59
2015-01-18 - 2015-01-24,65
2015-01-25 - 2015-01-31,72
2015-02-01 - 2015-02-07,62
2015-02-08 - 2015-02-14,67
2015-02-15 - 2015-02-21,75
2015-02-22 - 2015-02-28,67
2015-03-01 - 2015-03-07,81
2015-03-08 - 2015-03-14,71
2015-03-15 - 2015-03-21,74
2015-03-22 - 2015-03-28,60
2015-03-29 - 2015-04-04,68
2015-04-05 - 2015-04-11,71
2015-04-12 - 2015-04-18,71
2015-04-19 - 2015-04-25,72
2015-04-26 - 2015-05-02,81
2015-05-03 - 2015-05-09,74
2015-05-10 - 2015-05-16,75
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,69
2015-05-31 - 2015-06-06,75
2015-06-07 - 2015-06-13,67
2015-06-14 - 2015-06-20,83
2015-06-21 - 2015-06-27,60
2015-06-28 - 2015-07-04,66
2015-07-05 - 2015-07-11,49
2015-07-12 - 2015-07-18,57
2015-07-19 - 2015-07-25,63
2015-07-26 - 2015-08-01,66
2015-08-02 - 2015-08-08,66
2015-08-09 - 2015-08-15,66
2015-08-16 - 2015-08-22,68
2015-08-23 - 2015-08-29,58
2015-08-30 - 2015-09-05,67
2015-09-06 - 2015-09-12,55
2015-09-13 - 2015-09-19,61
2015-09-20 - 2015-09-26,61
2015-09-27 - 2015-10-03,62
