Woche,Dez. 2012 - Sep. 2015
2012-12-02 - 2012-12-08,96
2012-12-09 - 2012-12-15,95
2012-12-16 - 2012-12-22,91
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,67
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,58
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,58
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,51
2013-03-10 - 2013-03-16,50
2013-03-17 - 2013-03-23,58
2013-03-24 - 2013-03-30,54
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,64
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,51
2013-04-28 - 2013-05-04,47
2013-05-05 - 2013-05-11,57
2013-05-12 - 2013-05-18,64
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,67
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,55
2013-06-16 - 2013-06-22,67
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,68
2013-07-07 - 2013-07-13,61
2013-07-14 - 2013-07-20,74
2013-07-21 - 2013-07-27,67
2013-07-28 - 2013-08-03,78
2013-08-04 - 2013-08-10,62
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,65
2013-08-25 - 2013-08-31,68
2013-09-01 - 2013-09-07,61
2013-09-08 - 2013-09-14,65
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,67
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,64
2013-10-13 - 2013-10-19,50
2013-10-20 - 2013-10-26,63
2013-10-27 - 2013-11-02,55
2013-11-03 - 2013-11-09,68
2013-11-10 - 2013-11-16,61
2013-11-17 - 2013-11-23,82
2013-11-24 - 2013-11-30,64
2013-12-01 - 2013-12-07,69
2013-12-08 - 2013-12-14,85
2013-12-15 - 2013-12-21,100
2013-12-22 - 2013-12-28,61
2013-12-29 - 2014-01-04,62
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,47
2014-01-19 - 2014-01-25,63
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,56
2014-02-16 - 2014-02-22,71
2014-02-23 - 2014-03-01,49
2014-03-02 - 2014-03-08,60
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,64
2014-03-23 - 2014-03-29,57
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,60
2014-04-13 - 2014-04-19,66
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,74
2014-05-04 - 2014-05-10,66
2014-05-11 - 2014-05-17,61
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,63
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,79
2014-06-22 - 2014-06-28,62
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,62
2014-07-13 - 2014-07-19,74
2014-07-20 - 2014-07-26,56
2014-07-27 - 2014-08-02,74
2014-08-03 - 2014-08-09,84
2014-08-10 - 2014-08-16,83
2014-08-17 - 2014-08-23,80
2014-08-24 - 2014-08-30,63
2014-08-31 - 2014-09-06,73
2014-09-07 - 2014-09-13,57
2014-09-14 - 2014-09-20,65
2014-09-21 - 2014-09-27,51
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,67
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,68
2014-10-26 - 2014-11-01,52
2014-11-02 - 2014-11-08,59
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,61
2014-11-23 - 2014-11-29,85
2014-11-30 - 2014-12-06,87
2014-12-07 - 2014-12-13,84
2014-12-14 - 2014-12-20,87
2014-12-21 - 2014-12-27,80
2014-12-28 - 2015-01-03,62
2015-01-04 - 2015-01-10,70
2015-01-11 - 2015-01-17,49
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,62
2015-02-01 - 2015-02-07,57
2015-02-08 - 2015-02-14,62
2015-02-15 - 2015-02-21,70
2015-02-22 - 2015-02-28,58
2015-03-01 - 2015-03-07,61
2015-03-08 - 2015-03-14,54
2015-03-15 - 2015-03-21,75
2015-03-22 - 2015-03-28,51
2015-03-29 - 2015-04-04,66
2015-04-05 - 2015-04-11,56
2015-04-12 - 2015-04-18,57
2015-04-19 - 2015-04-25,59
2015-04-26 - 2015-05-02,57
2015-05-03 - 2015-05-09,62
2015-05-10 - 2015-05-16,54
2015-05-17 - 2015-05-23,61
2015-05-24 - 2015-05-30,56
2015-05-31 - 2015-06-06,63
2015-06-07 - 2015-06-13,66
2015-06-14 - 2015-06-20,69
2015-06-21 - 2015-06-27,58
2015-06-28 - 2015-07-04,78
2015-07-05 - 2015-07-11,60
2015-07-12 - 2015-07-18,80
2015-07-19 - 2015-07-25,76
2015-07-26 - 2015-08-01,83
2015-08-02 - 2015-08-08,82
2015-08-09 - 2015-08-15,72
2015-08-16 - 2015-08-22,85
2015-08-23 - 2015-08-29,62
2015-08-30 - 2015-09-05,82
2015-09-06 - 2015-09-12,67
2015-09-13 - 2015-09-19,72
2015-09-20 - 2015-09-26,64
2015-09-27 - 2015-10-03,68
