Woche,Dez. 2012 - Sep. 2015
2012-12-02 - 2012-12-08,85
2012-12-09 - 2012-12-15,87
2012-12-16 - 2012-12-22,81
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,53
2013-01-06 - 2013-01-12,65
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,41
2013-02-10 - 2013-02-16,44
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,53
2013-03-24 - 2013-03-30,50
2013-03-31 - 2013-04-06,66
2013-04-07 - 2013-04-13,70
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,66
2013-04-28 - 2013-05-04,46
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,52
2013-05-19 - 2013-05-25,66
2013-05-26 - 2013-06-01,62
2013-06-02 - 2013-06-08,55
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,63
2013-06-23 - 2013-06-29,52
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,53
2013-07-14 - 2013-07-20,77
2013-07-21 - 2013-07-27,62
2013-07-28 - 2013-08-03,69
2013-08-04 - 2013-08-10,68
2013-08-11 - 2013-08-17,58
2013-08-18 - 2013-08-24,68
2013-08-25 - 2013-08-31,67
2013-09-01 - 2013-09-07,49
2013-09-08 - 2013-09-14,71
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,62
2013-09-29 - 2013-10-05,49
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,69
2013-10-20 - 2013-10-26,78
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,76
2013-11-10 - 2013-11-16,64
2013-11-17 - 2013-11-23,71
2013-11-24 - 2013-11-30,64
2013-12-01 - 2013-12-07,77
2013-12-08 - 2013-12-14,97
2013-12-15 - 2013-12-21,92
2013-12-22 - 2013-12-28,69
2013-12-29 - 2014-01-04,60
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,61
2014-01-19 - 2014-01-25,60
2014-01-26 - 2014-02-01,54
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,64
2014-02-23 - 2014-03-01,52
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,71
2014-03-23 - 2014-03-29,38
2014-03-30 - 2014-04-05,63
2014-04-06 - 2014-04-12,56
2014-04-13 - 2014-04-19,49
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,72
2014-05-04 - 2014-05-10,58
2014-05-11 - 2014-05-17,59
2014-05-18 - 2014-05-24,72
2014-05-25 - 2014-05-31,52
2014-06-01 - 2014-06-07,71
2014-06-08 - 2014-06-14,57
2014-06-15 - 2014-06-21,87
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,60
2014-07-06 - 2014-07-12,63
2014-07-13 - 2014-07-19,70
2014-07-20 - 2014-07-26,71
2014-07-27 - 2014-08-02,95
2014-08-03 - 2014-08-09,85
2014-08-10 - 2014-08-16,69
2014-08-17 - 2014-08-23,85
2014-08-24 - 2014-08-30,58
2014-08-31 - 2014-09-06,65
2014-09-07 - 2014-09-13,63
2014-09-14 - 2014-09-20,81
2014-09-21 - 2014-09-27,68
2014-09-28 - 2014-10-04,52
2014-10-05 - 2014-10-11,79
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,68
2014-10-26 - 2014-11-01,48
2014-11-02 - 2014-11-08,67
2014-11-09 - 2014-11-15,63
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,84
2014-11-30 - 2014-12-06,96
2014-12-07 - 2014-12-13,100
2014-12-14 - 2014-12-20,97
2014-12-21 - 2014-12-27,71
2014-12-28 - 2015-01-03,77
2015-01-04 - 2015-01-10,65
2015-01-11 - 2015-01-17,69
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,62
2015-02-01 - 2015-02-07,76
2015-02-08 - 2015-02-14,55
2015-02-15 - 2015-02-21,60
2015-02-22 - 2015-02-28,52
2015-03-01 - 2015-03-07,60
2015-03-08 - 2015-03-14,55
2015-03-15 - 2015-03-21,65
2015-03-22 - 2015-03-28,52
2015-03-29 - 2015-04-04,66
2015-04-05 - 2015-04-11,60
2015-04-12 - 2015-04-18,43
2015-04-19 - 2015-04-25,48
2015-04-26 - 2015-05-02,82
2015-05-03 - 2015-05-09,62
2015-05-10 - 2015-05-16,67
2015-05-17 - 2015-05-23,58
2015-05-24 - 2015-05-30,60
2015-05-31 - 2015-06-06,56
2015-06-07 - 2015-06-13,64
2015-06-14 - 2015-06-20,66
2015-06-21 - 2015-06-27,59
2015-06-28 - 2015-07-04,70
2015-07-05 - 2015-07-11,76
2015-07-12 - 2015-07-18,83
2015-07-19 - 2015-07-25,79
2015-07-26 - 2015-08-01,76
2015-08-02 - 2015-08-08,80
2015-08-09 - 2015-08-15,69
2015-08-16 - 2015-08-22,71
2015-08-23 - 2015-08-29,70
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,59
2015-09-13 - 2015-09-19,73
2015-09-20 - 2015-09-26,69
2015-09-27 - 2015-10-03,82
