"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;3;-2;3;1;-3;93;80;51;1016;1011;1008;31;12;10;23;6;42;0.25;6;"Fog-Rain";228
2013-01-02;6;3;-1;3;-1;-3;93;77;52;1033;1024;1016;31;10;10;19;10;NA;0;4;"Rain";248
2013-01-03;6;2;-3;4;1;-4;93;82;63;1038;1034;1031;31;14;6;14;6;NA;2.03;6;"Rain";221
2013-01-04;9;7;4;8;6;4;100;89;81;1038;1035;1033;31;13;6;16;6;NA;0.25;6;"Rain";238
2013-01-05;7;6;5;6;4;3;93;83;72;1034;1032;1031;31;14;10;24;13;NA;0.76;6;"Rain";258
2013-01-06;7;6;5;4;4;3;94;86;74;1034;1030;1028;31;12;5;21;10;NA;0;7;"Rain";246
2013-01-07;8;4;1;5;3;1;98;87;70;1031;1028;1027;19;12;8;16;8;NA;0;6;"Rain";220
2013-01-08;5;3;1;2;2;0;95;88;75;1029;1026;1024;19;9;0;18;5;NA;0;6;"Fog";274
2013-01-09;3;1;0;2;0;-1;100;85;78;1027;1022;1017;18;10;2;19;5;NA;0;6;"Rain-Snow";238
2013-01-10;5;2;0;3;1;0;97;89;77;1019;1014;1011;31;9;4;16;6;NA;0.25;7;"Rain-Snow";241
2013-01-11;3;1;-1;2;-2;-4;93;81;66;1019;1014;1010;31;14;10;16;10;NA;0.25;6;"Rain-Snow";298
2013-01-12;-2;-2;-3;-2;-3;-4;100;90;77;1019;1016;1014;14;6;3;11;5;NA;0.51;6;"Snow";28
2013-01-13;-1;-2;-4;-3;-4;-5;94;85;78;1017;1013;1012;14;9;5;11;6;NA;0;6;"Rain-Snow";66
2013-01-14;-1;-2;-3;-3;-4;-7;93;81;61;1015;1012;1010;26;10;5;19;6;NA;0;6;"Snow";40
2013-01-15;1;-2;-4;-2;-4;-7;93;79;64;1014;1006;1003;31;14;10;14;6;NA;0;6;"Snow";139
2013-01-16;-2;-3;-4;-2;-6;-9;93;78;50;1010;1006;1004;31;11;3;21;8;NA;0.25;6;"Snow";298
2013-01-17;-3;-4;-4;-4;-6;-6;93;87;80;1015;1011;1007;6;4;2;19;14;35;0.51;7;"Snow";319
2013-01-18;-2;-3;-4;-4;-6;-7;93;82;67;1014;1008;1000;11;8;3;14;10;NA;0;6;"Snow";73
2013-01-19;-2;-3;-5;-6;-6;-7;93;81;70;1003;996;993;13;10;3;18;11;NA;0;6;"Snow";83
2013-01-20;-2;-3;-5;-4;-6;-7;87;82;70;997;993;991;11;9;5;18;10;NA;1.02;6;"Rain-Snow";72
2013-01-21;1;-2;-4;-2;-3;-5;100;88;71;1001;998;995;14;6;2;8;3;NA;1.02;6;"Rain-Snow";103
2013-01-22;2;0;-2;0;-2;-2;97;86;69;1007;1003;998;31;13;10;11;5;NA;0;6;"Snow";59
2013-01-23;3;-1;-4;-1;-2;-4;100;86;71;1009;1006;1004;14;8;0;14;5;NA;0;5;"Fog-Snow";344
2013-01-24;-1;-3;-4;-3;-4;-6;93;86;77;1017;1010;1006;14;6;3;18;10;35;0;7;"Snow";358
2013-01-25;-3;-3;-4;-6;-6;-7;86;79;66;1020;1017;1013;10;8;5;11;8;NA;0;7;"Snow";10
2013-01-26;-1;-4;-6;-5;-8;-9;86;75;57;1018;1013;1010;14;9;8;13;8;NA;0;6;"";155
2013-01-27;4;0;-5;1;-3;-6;89;74;51;1018;1010;1006;31;15;10;14;6;NA;0;5;"Rain";173
2013-01-28;7;4;1;2;1;-1;93;79;55;1021;1015;1008;31;12;10;14;6;NA;0;5;"Rain";216
2013-01-29;9;6;3;6;3;-2;87;76;57;1020;1017;1015;31;12;10;32;19;58;1.02;6;"Rain";212
2013-01-30;15;11;7;9;7;2;88;75;56;1020;1015;1011;26;11;9;39;21;64;1.02;6;"Rain";224
2013-01-31;10;7;4;4;1;-1;81;63;36;1023;1019;1015;10;10;10;34;19;53;0;6;"Rain";223
2013-02-01;9;7;5;7;4;2;93;83;64;1018;1006;991;31;11;6;21;11;35;10.92;7;"Rain";199
2013-02-02;4;1;-1;6;1;-4;95;84;73;1014;1001;990;31;11;1;35;16;52;0.51;6;"Rain-Snow";294
2013-02-03;3;1;-2;-2;-2;-4;87;74;55;1022;1017;1013;31;12;4;27;14;47;0;6;"Snow";252
2013-02-04;6;3;0;4;1;-2;93;86;79;1017;1014;1013;26;9;2;35;23;52;3.05;7;"Rain-Snow";215
2013-02-05;7;3;0;4;1;-2;93;82;58;1014;1005;1000;31;12;0;45;14;53;2.03;6;"Rain-Snow";225
2013-02-06;1;0;-1;0;-2;-4;97;84;68;1003;999;996;31;10;1;21;11;NA;2.03;6;"Rain-Snow";197
2013-02-07;1;0;-2;-1;-2;-3;95;88;77;1013;1009;1003;14;9;1;23;14;NA;0.51;6;"Snow";260
2013-02-08;1;-1;-2;-2;-3;-4;93;84;62;1016;1012;1010;31;12;2;21;8;NA;0.25;6;"Snow";266
2013-02-09;-1;-4;-7;-4;-6;-7;95;80;55;1021;1017;1014;31;12;2;18;10;NA;2.03;5;"Snow";307
2013-02-10;-2;-7;-12;-7;-9;-13;96;79;44;1020;1013;1004;27;13;2;14;5;NA;0;2;"Fog";155
2013-02-11;-1;-5;-9;-6;-8;-11;86;71;56;1008;1002;999;31;14;7;16;10;NA;0;6;"Snow";84
2013-02-12;-2;-3;-4;-4;-7;-9;93;75;54;1017;1009;1002;14;9;6;14;10;NA;0;6;"Rain-Snow";8
2013-02-13;1;-2;-5;-5;-8;-10;86;63;36;1028;1021;1015;19;11;9;14;5;NA;0;6;"Snow";358
2013-02-14;1;-4;-9;-5;-7;-10;93;75;45;1028;1021;1015;14;11;7;11;5;NA;0;7;"";142
2013-02-15;1;-1;-2;0;-2;-6;96;90;66;1024;1018;1014;11;4;1;8;3;NA;3.05;7;"Rain-Snow";130
2013-02-16;4;2;0;1;0;0;100;90;75;1026;1023;1022;19;8;1;10;3;NA;1.02;7;"Fog-Rain-Snow";76
2013-02-17;3;2;0;2;0;-1;100;89;75;1025;1022;1020;18;7;0;14;5;NA;0;7;"Fog-Rain-Snow";48
2013-02-18;3;1;-3;-1;-3;-5;93;76;50;1022;1020;1018;31;14;10;14;6;NA;0;4;"";93
2013-02-19;3;0;-4;-1;-3;-6;93;81;58;1022;1017;1014;19;10;3;18;6;NA;0.25;7;"Rain-Snow";265
2013-02-20;1;-1;-2;-1;-4;-7;94;76;55;1022;1019;1016;31;10;3;26;11;NA;0;6;"Rain-Snow";40
2013-02-21;-1;-3;-4;-6;-7;-9;80;69;52;1022;1017;1013;31;15;10;23;16;NA;0;6;"Snow";51
2013-02-22;-3;-5;-7;-8;-9;-10;86;69;48;1016;1011;1008;31;12;6;26;18;NA;0;6;"Snow";48
2013-02-23;-3;-4;-6;-6;-7;-9;86;80;69;1012;1009;1006;14;7;3;16;11;NA;0;7;"Snow";1
2013-02-24;-2;-4;-6;-4;-6;-7;93;81;67;1017;1012;1009;11;7;2;14;8;NA;0.25;7;"Snow";328
2013-02-25;-1;-2;-5;-3;-4;-6;93;84;73;1025;1018;1014;10;6;3;10;5;NA;0;7;"Snow";178
2013-02-26;1;-2;-5;0;-3;-6;97;89;79;1028;1025;1023;10;4;0;11;5;NA;6.1;7;"Fog-Rain-Snow";35
2013-02-27;1;1;0;1;0;0;100;93;85;1030;1027;1026;9;5;0;14;10;NA;0;7;"Fog-Rain-Snow";24
2013-02-28;2;1;0;0;-1;-1;93;84;75;1028;1024;1022;18;10;8;10;6;NA;0;8;"";56
