"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;7;1;-5;3;-1;-5;100;88;61;1014;1011;1010;10;9;5;23;6;NA;0;6;"Fog-Rain";240
2013-01-02;4;1;-3;3;1;-3;100;88;75;1031;1024;1014;10;10;10;19;13;NA;0;6;"Fog-Rain";253
2013-01-03;5;0;-4;4;0;-4;100;90;75;1035;1033;1031;10;10;6;34;14;40;0;8;"Fog-Rain";241
2013-01-04;7;6;4;6;5;3;100;94;87;1035;1033;1029;10;8;4;37;24;NA;0;7;"Rain";260
2013-01-05;7;6;5;6;6;5;100;96;93;1031;1029;1028;10;6;3;35;27;NA;0;8;"Rain";266
2013-01-06;5;5;5;5;4;3;100;95;87;1030;1028;1026;10;9;5;34;21;40;0;7;"Rain";264
2013-01-07;6;4;3;5;4;2;100;94;87;1028;1027;1027;10;7;4;24;18;NA;0;6;"Rain";263
2013-01-08;5;3;1;3;2;1;100;95;87;1027;1025;1023;10;6;3;19;10;NA;0;6;"Fog-Rain";253
2013-01-09;5;3;1;3;2;0;100;93;81;1024;1020;1015;10;8;4;14;8;NA;0;7;"Rain";255
2013-01-10;4;2;1;2;2;0;100;95;87;1015;1012;1009;10;8;4;23;16;NA;0;7;"Rain-Snow";262
2013-01-11;2;-1;-3;1;-2;-5;93;86;69;1016;1013;1008;10;10;6;24;13;NA;0;5;"Rain-Snow";277
2013-01-12;-1;-2;-3;-2;-3;-5;100;92;86;1016;1016;1015;10;8;1;16;8;NA;0;7;"Snow";35
2013-01-13;-2;-3;-4;-3;-5;-6;100;87;80;1015;1013;1012;10;9;4;19;11;NA;0;7;"";72
2013-01-14;-1;-2;-3;-3;-4;-5;93;89;80;1012;1011;1010;10;8;4;21;11;NA;0;7;"Snow";64
2013-01-15;-2;-3;-4;-2;-4;-4;100;93;86;1011;1006;1004;10;7;3;23;8;NA;0;7;"Snow";67
2013-01-16;-1;-4;-8;-2;-4;-8;100;98;86;1006;1005;1004;9;3;1;14;6;NA;0;6;"Fog-Snow";258
2013-01-17;-4;-6;-7;-4;-4;-8;100;100;93;1010;1008;1005;5;2;1;21;14;NA;0;7;"Snow";263
2013-01-18;-3;-4;-5;-4;-5;-7;100;93;80;1010;1007;1001;10;7;5;16;8;NA;0;6;"Snow";36
2013-01-19;-4;-6;-6;-6;-7;-7;100;90;80;1001;996;994;10;8;4;24;16;NA;0;7;"Snow";86
2013-01-20;-4;-6;-6;-5;-6;-8;93;92;86;994;993;992;9;6;4;23;14;NA;0;7;"Rain";75
2013-01-21;-1;-3;-5;-2;-4;-5;100;95;86;1000;997;994;6;4;1;14;8;NA;0;7;"Snow";263
2013-01-22;3;-2;-8;0;-2;-9;100;91;70;1005;1003;1000;10;8;4;24;6;NA;0;5;"Snow";227
2013-01-23;3;-3;-10;-2;-6;-10;100;93;65;1006;1005;1004;10;5;0;10;3;NA;0;3;"Fog";78
2013-01-24;-3;-6;-7;-3;-5;-7;100;100;100;1012;1008;1005;6;2;0;10;5;NA;0;7;"Fog-Snow";47
2013-01-25;-3;-4;-5;-3;-6;-6;100;92;86;1016;1015;1012;6;4;2;13;10;NA;0;8;"Snow";337
2013-01-26;-5;-10;-14;-6;-9;-15;100;89;80;1015;1013;1011;6;4;3;21;11;NA;0;7;"Fog-Snow";88
2013-01-27;2;-7;-14;0;-6;-15;100;79;52;1015;1010;1007;10;8;5;11;5;NA;0;7;"Rain";154
2013-01-28;3;1;-1;2;1;-1;100;95;87;1020;1015;1008;10;7;3;23;11;NA;0;7;"Fog-Rain";244
2013-01-29;7;3;-1;6;2;-2;93;84;65;1020;1017;1015;10;10;10;40;19;53;0;7;"Rain";234
2013-01-30;14;10;7;8;7;5;93;77;63;1017;1015;1011;10;10;10;60;34;77;0;6;"Rain";253
2013-01-31;10;8;5;4;1;-2;93;67;50;1021;1017;1014;10;10;10;52;34;80;0;4;"Rain";256
2013-02-01;7;6;4;7;4;2;100;91;76;1016;1006;991;10;10;10;32;19;NA;0;7;"Rain";222
2013-02-02;8;4;0;7;2;-3;100;89;80;1009;998;989;10;10;4;35;19;42;0;6;"Rain-Snow";284
2013-02-03;2;0;-2;0;-2;-4;100;85;75;1017;1015;1009;10;9;1;37;21;55;0;6;"Snow";263
2013-02-04;6;3;0;3;1;-1;100;92;81;1014;1013;1012;10;7;3;47;37;64;0;7;"Rain-Snow";250
2013-02-05;7;3;0;5;2;0;100;88;66;1012;1005;1000;10;8;1;52;27;72;0;6;"Rain-Snow";247
2013-02-06;3;1;-1;1;-1;-4;100;88;60;1001;999;997;10;8;3;24;13;NA;0;5;"Snow";207
2013-02-07;1;-1;-3;0;-2;-4;100;94;75;1010;1006;1000;10;7;0;29;11;37;0;7;"Snow";275
2013-02-08;-1;-3;-5;-2;-4;-6;100;90;69;1012;1011;1009;10;8;1;21;11;NA;0;6;"Snow";247
2013-02-09;-2;-6;-9;-2;-6;-11;100;88;69;1016;1015;1012;10;9;2;24;13;NA;0;6;"Snow";266
2013-02-10;-3;-8;-12;-5;-8;-12;100;91;80;1016;1013;1007;10;8;3;19;8;NA;0;5;"Snow";114
