"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;7;5;6;3;2;100;78;62;1009;1004;1003;31;14;10;26;18;NA;0.76;6;"Rain";216
2013-01-02;6;4;3;4;3;1;93;86;73;1024;1017;1009;31;15;10;29;19;NA;0.51;6;"Rain";255
2013-01-03;10;7;4;9;6;2;100;89;72;1025;1022;1020;26;9;4;34;24;48;0.51;7;"Rain";258
2013-01-04;9;8;6;9;7;4;100;89;73;1028;1025;1021;31;10;3;29;23;50;6.1;6;"Rain";283
2013-01-05;7;6;5;8;6;4;100;93;83;1029;1026;1022;26;11;5;18;11;NA;0;7;"Rain";321
2013-01-06;7;6;5;7;6;5;100;98;87;1028;1023;1020;19;6;2;21;10;NA;1.02;7;"Rain";299
2013-01-07;7;4;3;7;3;2;100;93;84;1028;1027;1024;11;9;3;14;8;NA;0;7;"Rain";110
2013-01-08;7;4;2;7;5;2;100;99;93;1026;1022;1020;10;4;1;14;8;NA;3.05;7;"Rain";252
2013-01-09;7;7;6;7;7;4;100;97;87;1022;1016;1009;10;4;0;24;10;NA;3.05;7;"Fog-Rain";233
2013-01-10;5;2;-1;4;2;-4;100;90;72;1010;1007;1005;31;12;6;29;18;NA;2.03;6;"Rain-Snow";303
2013-01-11;0;-1;-3;-2;-3;-4;93;85;66;1016;1012;1008;31;13;1;18;13;NA;0.25;6;"Snow";304
2013-01-12;-1;-2;-4;-1;-3;-5;100;91;80;1020;1017;1015;31;13;3;14;10;NA;0;6;"Snow";313
2013-01-13;-2;-3;-4;-2;-4;-6;93;83;68;1022;1020;1020;19;10;3;19;10;NA;0;6;"Snow";63
2013-01-14;-3;-6;-8;-5;-7;-9;93;87;78;1021;1016;1012;11;6;2;21;13;NA;0;6;"Snow";102
2013-01-15;-3;-4;-6;-4;-5;-6;100;91;81;1012;1011;1010;7;6;5;19;8;NA;0;6;"Snow";112
2013-01-16;-3;-4;-5;-4;-6;-6;93;90;79;1012;1011;1010;7;6;5;14;10;NA;0;7;"Rain-Snow";28
2013-01-17;0;-2;-4;-3;-3;-5;93;81;59;1018;1015;1012;26;10;6;16;8;NA;0;6;"Rain-Snow";26
2013-01-18;-3;-3;-4;-4;-6;-8;86;77;65;1018;1014;1010;27;13;9;32;13;NA;0;6;"Rain-Snow";74
2013-01-19;-7;-8;-8;-7;-9;-11;86;78;65;1010;1006;1004;31;14;9;27;19;NA;0;5;"Snow";66
2013-01-20;-4;-6;-8;-6;-7;-9;86;81;66;1005;1004;1002;19;12;10;27;13;NA;0;6;"Snow";67
