"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;7;5;5;3;1;93;77;66;1009;1004;1003;10;10;10;27;21;NA;0;6;"Rain";219
2013-01-02;5;4;3;4;3;1;93;87;81;1024;1017;1009;10;10;10;27;19;NA;0;6;"Rain";246
2013-01-03;10;7;4;9;5;2;100;88;81;1025;1022;1020;10;9;4;35;27;52;0;6;"Rain";250
2013-01-04;10;8;6;9;6;4;100;88;76;1027;1024;1021;10;8;4;35;29;52;0;6;"Rain";279
2013-01-05;9;7;6;8;6;4;93;89;81;1028;1026;1022;10;10;9;24;16;37;0;6;"Rain";324
2013-01-06;7;6;5;6;6;5;100;94;87;1027;1023;1020;10;7;4;29;13;NA;0;6;"Rain";298
2013-01-07;6;3;2;5;2;1;100;93;93;1028;1027;1024;10;7;3;14;11;NA;0;6;"Rain";108
2013-01-08;7;4;2;7;4;1;100;97;93;1026;1022;1020;6;4;2;19;13;NA;0;6;"Rain";238
2013-01-09;7;6;6;7;6;3;100;97;81;1021;1016;1009;10;4;1;32;13;NA;0;6;"Fog-Rain";230
2013-01-10;6;3;0;3;1;-4;93;88;75;1009;1006;1004;10;9;5;35;26;52;0;6;"Rain-Snow";300
2013-01-11;0;-2;-3;-2;-3;-4;93;84;75;1015;1012;1007;10;10;6;24;19;NA;0;6;"Snow";301
2013-01-12;0;-2;-4;-1;-3;-5;100;90;86;1019;1017;1015;10;9;2;23;14;NA;0;5;"Snow";312
2013-01-13;-2;-3;-4;-3;-5;-6;93;85;74;1021;1020;1019;10;10;9;16;10;NA;0;6;"Snow";66
2013-01-14;-4;-7;-8;-5;-7;-9;93;88;86;1020;1016;1012;10;6;2;21;14;NA;0;6;"Snow";102
2013-01-15;-3;-6;-7;-5;-5;-7;100;95;86;1012;1011;1009;7;4;0;19;8;NA;0;6;"Fog-Snow";103
2013-01-16;-3;-4;-4;-5;-6;-6;93;89;86;1011;1010;1009;8;5;2;16;13;NA;0;6;"Snow";30
2013-01-17;0;-2;-3;-3;-4;-6;93;83;69;1017;1015;1012;10;9;5;27;14;NA;0;6;"Snow";26
2013-01-18;-2;-3;-5;-5;-6;-8;86;80;74;1017;1014;1009;10;10;10;27;16;NA;0;6;"Snow";69
2013-01-19;-5;-7;-9;-8;-9;-11;93;83;74;1009;1005;1004;10;10;9;24;19;NA;0;5;"Snow";64
2013-01-20;-4;-7;-9;-6;-7;-10;93;85;74;1004;1003;1002;10;10;9;26;14;NA;0;6;"";66
2013-01-21;-4;-6;-7;-6;-7;-9;93;85;80;1006;1004;1002;10;7;2;32;26;NA;0;6;"Snow";65
2013-01-22;-7;-8;-8;-8;-10;-10;93;83;80;1010;1008;1006;10;9;2;21;14;NA;0;6;"Snow";62
2013-01-23;-6;-7;-8;-9;-9;-9;93;84;80;1011;1010;1010;10;9;5;6;5;NA;0;6;"Snow";135
2013-01-24;-4;-6;-7;-7;-8;-10;86;83;80;1019;1014;1011;10;8;6;16;5;NA;0;6;"Snow";111
2013-01-25;-2;-7;-12;-7;-10;-14;93;85;69;1023;1021;1020;10;7;3;14;6;NA;0;5;"Fog";133
