"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;6;4;7;6;2;100;90;77;1008;1001;998;31;11;6;29;23;NA;6.1;6;"Rain";235
2013-01-02;7;5;3;5;4;3;93;88;81;1023;1017;1008;31;14;9;27;21;NA;0.51;6;"Rain";244
2013-01-03;11;8;6;9;8;5;100;93;88;1030;1024;1020;26;9;3;32;23;NA;1.02;6;"Rain";260
2013-01-04;10;8;7;9;8;6;100;92;87;1031;1029;1028;31;9;3;35;24;NA;0;7;"Rain";277
2013-01-05;8;7;7;7;7;6;100;92;87;1031;1030;1028;14;8;4;29;23;NA;0;8;"Rain";293
2013-01-06;8;7;6;8;7;5;100;93;87;1030;1027;1025;14;8;3;29;18;NA;0.51;7;"Rain";286
2013-01-07;8;7;5;7;6;4;100;95;87;1028;1027;1024;14;8;3;18;11;NA;0;6;"Rain";241
2013-01-08;8;7;6;8;7;6;100;95;88;1024;1022;1021;5;3;2;21;14;NA;5.08;6;"Rain";246
2013-01-09;8;6;3;8;6;2;100;94;86;1022;1016;1013;19;7;2;23;16;NA;5.08;6;"Rain";258
2013-01-10;5;3;1;4;1;-4;100;86;60;1014;1011;1008;31;11;5;27;16;NA;0;6;"Rain";305
2013-01-11;1;-2;-4;-2;-3;-5;87;79;65;1019;1016;1013;31;11;10;19;11;NA;0;5;"Snow";311
2013-01-12;1;-2;-6;-2;-4;-7;100;89;59;1021;1020;1018;31;18;10;13;5;NA;0;2;"Fog-Snow";60
2013-01-13;-1;-3;-5;-3;-4;-5;93;84;71;1022;1020;1018;31;13;10;19;10;NA;0;6;"Snow";59
2013-01-14;-3;-4;-7;-4;-6;-7;100;90;80;1019;1014;1010;18;5;1;19;13;NA;0;6;"Snow";124
2013-01-15;-3;-7;-11;-6;-8;-12;100;88;75;1011;1009;1008;10;6;0;14;8;NA;0;6;"Fog";90
2013-01-16;-4;-6;-7;-5;-6;-7;93;88;76;1015;1012;1010;8;6;5;14;11;NA;0;6;"Snow";59
2013-01-17;-1;-3;-5;-3;-4;-6;93;82;70;1020;1018;1015;11;7;5;14;11;NA;0;6;"Snow";18
2013-01-18;-1;-2;-3;-2;-4;-6;96;83;68;1019;1013;1008;23;10;5;27;14;NA;0;6;"Snow";85
2013-01-19;-3;-4;-6;-6;-8;-10;80;73;61;1008;1005;1003;31;14;10;34;24;NA;0;7;"";100
2013-01-20;-2;-6;-9;-5;-8;-11;93;76;59;1004;1002;1000;26;16;10;32;23;47;0;6;"";87
2013-01-21;-3;-4;-6;-4;-5;-8;94;86;69;1005;1002;1000;31;6;1;34;26;NA;0.51;6;"Snow";86
2013-01-22;-5;-6;-7;-7;-8;-9;93;82;72;1011;1008;1005;19;9;5;24;19;NA;0.25;6;"Snow";91
2013-01-23;-2;-4;-7;-4;-7;-9;93;82;61;1013;1011;1010;26;13;10;14;11;NA;0;5;"Rain-Snow";50
2013-01-24;-2;-2;-4;-4;-5;-5;93;83;71;1021;1016;1012;19;12;10;21;14;NA;0;6;"Snow";18
2013-01-25;-6;-9;-13;-5;-9;-14;100;86;73;1023;1020;1015;10;5;0;21;8;NA;0;1;"Fog";122
2013-01-26;0;-6;-11;-1;-8;-12;93;85;63;1015;1011;1008;11;7;3;27;16;NA;0.25;7;"Snow";163
2013-01-27;4;1;-2;2;1;-1;100;89;72;1009;1002;997;31;8;2;34;19;NA;4.06;7;"Rain-Snow";200
2013-01-28;4;2;1;2;1;0;94;88;78;1011;1008;1002;31;16;10;34;16;NA;1.02;5;"Rain-Snow";211
2013-01-29;11;7;2;10;6;1;100;87;74;1006;1003;1000;26;11;3;35;24;60;2.03;6;"Rain-Snow";222
2013-01-30;12;9;7;11;8;3;100;87;69;1004;1000;997;31;11;3;48;29;71;7.87;6;"Rain-Thunderstorm";246
2013-01-31;8;7;6;4;3;2;87;73;59;1009;1005;1001;31;15;10;50;42;71;0.25;5;"Rain";252
2013-02-01;7;4;2;5;3;1;100;83;64;1005;999;992;31;11;6;40;26;61;5.08;7;"Rain";268
2013-02-02;4;3;2;2;1;-3;100;84;50;1010;1001;993;31;13;3;34;16;53;0.25;5;"Rain-Snow";311
2013-02-03;6;3;1;4;1;-1;94;83;67;1014;1010;1003;31;12;3;34;21;NA;3.05;6;"Rain-Snow";263
2013-02-04;9;6;2;7;3;1;100;79;55;1005;1003;1000;31;12;5;47;24;66;2.03;5;"Rain";256
2013-02-05;5;2;0;2;1;-1;100;86;66;1002;995;993;26;12;2;34;24;50;8.89;5;"Rain-Snow-Thunderstorm";238
2013-02-06;4;1;-3;3;-1;-3;100;91;74;1002;998;995;31;9;0;19;10;NA;0.51;5;"Fog-Rain-Snow";246
