"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;6;3;6;3;1;93;80;59;1015;1008;1006;31;12;10;23;14;39;2.03;6;"Rain";206
2013-01-02;6;3;0;3;1;-1;100;85;67;1031;1024;1015;31;13;10;19;11;37;0;6;"";200
2013-01-03;7;4;3;7;3;1;100;90;77;1036;1032;1030;19;10;6;29;19;47;0;7;"Rain";191
2013-01-04;11;9;6;9;8;6;100;93;79;1036;1034;1033;31;11;6;21;13;37;0;6;"Rain";210
2013-01-05;9;8;7;8;6;5;87;78;67;1033;1032;1032;31;12;10;24;18;NA;0;7;"Rain";281
2013-01-06;10;8;7;7;6;4;93;82;66;1033;1030;1028;18;12;10;21;13;NA;0;7;"Rain";259
2013-01-07;9;8;6;6;5;4;93;78;64;1030;1028;1027;19;12;10;14;8;NA;0;6;"Rain";235
2013-01-08;6;5;4;5;4;3;100;89;76;1028;1026;1025;31;11;3;16;10;NA;0;7;"Rain";209
2013-01-09;5;4;3;3;2;1;100;87;69;1026;1022;1017;19;9;5;19;13;29;0.76;7;"Rain";207
2013-01-10;4;2;1;4;2;0;100;92;79;1018;1014;1011;31;10;6;21;13;34;1.02;6;"Rain";208
2013-01-11;2;0;-2;1;-4;-7;93;69;47;1020;1016;1010;27;11;10;24;10;NA;0;4;"Rain-Snow";47
2013-01-12;1;-2;-4;-5;-6;-8;86;69;37;1020;1018;1017;31;14;10;19;6;NA;0;3;"";54
2013-01-13;0;-2;-4;-6;-8;-10;86;65;41;1019;1016;1015;31;13;10;19;11;NA;0;5;"";42
2013-01-14;-1;-3;-7;-5;-7;-9;93;73;53;1016;1014;1012;31;13;8;13;10;NA;0;5;"Snow";340
2013-01-15;1;-4;-9;0;-5;-10;100;86;60;1013;1007;1004;14;8;3;14;5;NA;1.02;7;"Snow";66
2013-01-16;-1;-3;-4;0;-3;-5;100;90;76;1011;1008;1006;10;5;1;14;6;NA;0.76;7;"Snow";251
2013-01-17;0;-2;-3;-2;-4;-6;93;83;68;1016;1014;1011;13;6;2;21;14;NA;0.51;7;"Snow";10
2013-01-18;0;-1;-2;-4;-5;-6;80;73;60;1015;1010;1003;18;12;10;21;14;NA;0;7;"";58
2013-01-19;-2;-3;-5;-6;-7;-9;80;71;58;1004;999;996;19;12;6;26;18;NA;0;6;"Snow";58
2013-01-20;0;-3;-6;0;-5;-9;100;86;68;998;996;994;16;7;3;26;16;NA;7.87;6;"Rain-Snow";42
2013-01-21;-1;-1;-2;0;-1;-2;100;96;82;1002;999;997;9;4;2;10;5;NA;0.76;7;"Snow";68
2013-01-22;-2;-2;-3;-2;-3;-3;100;95;88;1008;1004;1001;5;3;2;11;8;NA;0.25;8;"Rain-Snow";37
2013-01-23;-1;-2;-3;-2;-3;-5;100;90;79;1010;1008;1007;6;4;3;10;5;NA;0;7;"Snow";49
2013-01-24;-2;-4;-7;-4;-6;-9;93;81;72;1019;1013;1009;18;9;6;19;10;NA;0;5;"Fog";31
2013-01-25;-2;-3;-3;-4;-5;-6;93;81;70;1021;1019;1016;18;10;6;16;10;NA;0;7;"Snow";50
2013-01-26;-2;-3;-5;-4;-6;-8;93;81;70;1017;1015;1013;10;8;3;13;8;NA;0;8;"Snow";155
2013-01-27;2;-1;-3;2;-1;-4;100;91;79;1016;1009;1005;10;7;3;21;13;37;1.02;7;"Rain-Snow";196
2013-01-28;4;2;1;3;2;1;100;90;78;1019;1014;1008;26;11;6;23;11;39;0;6;"Rain";195
2013-01-29;9;6;3;8;6;1;100;89;72;1017;1013;1012;31;12;10;32;23;48;8.89;7;"Rain";200
2013-01-30;14;10;7;11;8;2;94;81;56;1017;1011;1007;31;11;9;40;29;66;1.02;6;"Rain";222
2013-01-31;9;8;7;5;3;2;87;68;52;1020;1016;1012;31;13;10;48;31;66;1.02;5;"Rain";230
2013-02-01;8;7;6;6;4;2;100;85;60;1014;1004;990;18;8;3;23;16;39;3.05;7;"Rain";198
2013-02-02;7;4;2;6;0;-4;94;71;48;1013;1002;991;10;10;3;26;18;40;0;5;"Rain";306
2013-02-03;5;3;1;1;-1;-3;93;70;51;1020;1016;1012;31;11;6;45;21;64;0;6;"Rain-Snow";260
2013-02-04;8;4;2;7;3;1;100;88;79;1013;1011;1010;31;11;6;47;29;52;4.06;7;"Rain";212
2013-02-05;7;3;0;3;1;-3;100;78;40;1012;1003;999;31;11;1;43;21;63;0.76;6;"Rain-Snow-Thunderstorm";216
2013-02-06;2;1;-1;2;0;-3;100;91;70;1005;999;995;31;11;3;19;10;45;2.03;7;"Rain-Snow";128
2013-02-07;4;2;-1;1;-1;-3;100;80;47;1012;1009;1005;31;12;3;21;11;NA;0.25;5;"Snow";266
2013-02-08;3;1;-2;1;-2;-5;100;88;57;1017;1013;1011;31;11;2;19;8;NA;0.76;6;"Snow-Hail";246
2013-02-09;1;-2;-4;-2;-4;-5;100;81;56;1021;1019;1016;26;12;3;11;5;NA;0.51;6;"Snow";193
2013-02-10;2;-2;-5;-4;-7;-9;93;69;35;1019;1014;1007;31;13;6;19;8;35;0;3;"";141
