"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;7;6;7;7;5;100;95;93;1002;1000;999;10;8;5;23;16;NA;0;6;"Rain";251
2013-01-02;7;6;4;4;3;2;93;86;81;1021;1016;1010;10;10;10;26;21;NA;0;4;"";266
2013-01-03;9;8;7;9;7;5;100;95;81;1025;1020;1017;10;6;2;29;27;NA;0;6;"Rain";272
2013-01-04;9;7;6;8;7;5;100;96;93;1027;1025;1023;10;5;3;35;26;52;0;8;"Rain";275
2013-01-05;8;7;7;7;7;6;100;94;87;1029;1028;1027;10;9;5;11;8;NA;0;6;"";296
2013-01-06;8;7;6;7;7;6;100;97;93;1023;1023;1022;7;4;2;21;16;NA;0;6;"Rain";290
2013-01-07;6;6;5;5;5;4;100;98;87;1027;1026;1025;10;7;2;11;6;NA;0;7;"";229
2013-01-08;7;6;6;7;7;6;100;99;93;1021;1021;1020;6;4;2;14;13;NA;0;8;"Rain";265
2013-01-09;7;6;6;7;7;5;100;98;93;1017;1014;1011;8;5;2;24;16;NA;0;6;"Rain";238
2013-01-10;5;2;0;4;-1;-5;93;80;65;1010;1008;1007;10;9;3;24;19;NA;0;6;"Snow";349
2013-01-11;0;-1;-2;-1;-2;-3;100;91;80;1017;1015;1012;10;7;1;16;10;NA;0;6;"Snow";310
2013-01-12;0;-2;-5;-2;-3;-6;100;88;75;1020;1020;1019;10;9;1;11;6;NA;0;5;"Fog-Snow";324
2013-01-13;-1;-3;-6;-2;-4;-7;100;91;80;1022;1022;1021;10;7;2;14;8;NA;0;4;"Snow";73
2013-01-14;-4;-4;-5;-6;-7;-8;93;86;80;1018;1015;1012;8;4;3;14;11;NA;0;6;"Snow";120
2013-01-15;-6;-9;-11;-7;-9;-12;93;91;86;1011;1010;1010;5;3;0;10;5;NA;0;5;"Fog";114
2013-01-16;-4;-6;-7;-6;-7;-8;93;92;86;1015;1013;1011;4;3;2;11;6;NA;0;7;"";61
2013-01-17;0;-1;-2;-2;-3;-4;87;83;75;1020;1019;1017;10;9;4;16;8;NA;0;6;"Snow";22
2013-01-18;-1;-2;-3;-3;-4;-7;86;80;69;1017;1014;1011;10;9;5;24;13;NA;0;6;"Snow";79
2013-01-19;-3;-7;-9;-8;-9;-11;86;78;69;1007;1006;1005;10;10;10;29;18;NA;0;5;"";79
2013-01-20;-1;-3;-5;-3;-6;-8;86;83;80;1005;1004;1003;10;10;7;23;13;40;0;6;"Snow";74
2013-01-21;-2;-3;-4;-7;-9;-17;80;64;34;1006;1006;1005;NA;NA;NA;37;27;50;0;NA;"";80
2013-01-22;-4;-4;-5;-6;-8;-10;86;77;64;1010;1010;1009;10;6;4;24;16;NA;0;6;"Snow";93
2013-01-23;0;-3;-7;-3;-4;-8;93;84;75;1012;1011;1011;10;9;7;19;10;NA;0;5;"Snow";33
2013-01-24;0;-2;-4;-2;-3;-5;100;86;80;1019;1016;1013;10;10;10;14;11;NA;0;6;"Snow";13
2013-01-25;1;-2;-5;-5;-8;-10;86;70;51;1023;1022;1020;10;10;10;13;6;NA;0;6;"";176
2013-01-26;-5;-7;-9;-7;-9;-10;93;82;74;1013;1011;1008;6;4;2;23;18;NA;0;7;"Snow";165
2013-01-27;1;1;1;1;-1;-1;100;91;87;1004;1000;997;6;4;3;23;19;NA;0;7;"Rain-Snow";172
2013-01-28;3;2;2;2;2;1;93;91;87;1011;1008;1005;9;6;4;23;19;NA;0;5;"";215
2013-01-29;8;6;4;6;5;4;100;88;81;1004;1002;1000;10;8;6;29;23;NA;0;5;"Rain";240
2013-01-30;11;8;6;11;7;3;100;92;76;999;997;995;10;8;4;45;26;63;0;6;"Rain";247
2013-01-31;7;6;5;4;3;1;93;80;70;1004;1001;998;10;10;8;53;43;82;0;6;"Rain";255
2013-02-01;6;4;3;3;3;2;93;84;81;1001;998;993;10;10;9;32;23;NA;0;6;"";240
2013-02-02;3;1;-3;0;-3;-6;93;73;56;1005;1001;996;10;10;7;24;18;NA;0;3;"";317
