"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;7;6;4;6;4;2;93;85;63;1010;1003;1000;31;13;8;34;24;48;4.06;7;"Rain";232
2013-01-02;7;5;3;5;3;2;93;83;71;1025;1018;1010;19;11;8;32;23;40;1.02;6;"Rain";266
2013-01-03;10;8;6;9;7;3;100;93;73;1030;1025;1022;13;8;3;34;24;50;0.76;6;"Rain";268
2013-01-04;9;8;7;9;8;6;100;93;87;1031;1029;1028;14;7;3;35;24;52;0.25;7;"Rain";279
2013-01-05;8;7;7;8;7;6;100;96;87;1031;1029;1028;10;5;1;35;26;42;2.03;8;"Rain";291
2013-01-06;8;7;6;8;7;5;100;95;87;1031;1026;1024;14;7;3;26;16;37;1.02;7;"Rain";286
2013-01-07;8;7;5;7;6;4;100;94;87;1029;1027;1024;14;10;6;26;13;NA;0;7;"Rain";273
2013-01-08;8;7;6;7;6;5;100;94;80;1025;1023;1022;10;5;3;23;14;NA;2.03;7;"Rain";271
2013-01-09;6;6;5;7;6;4;100;96;90;1023;1017;1013;14;7;2;26;16;NA;4.06;7;"Rain";268
2013-01-10;6;3;0;4;2;-4;100;89;75;1014;1010;1007;31;11;6;26;16;NA;0;6;"Rain-Snow";297
2013-01-11;0;-2;-4;-2;-3;-5;100;89;62;1019;1015;1011;31;11;3;14;11;NA;0;6;"Snow";300
2013-01-12;0;-3;-7;-3;-4;-7;100;91;61;1021;1019;1018;31;13;1;10;5;NA;0;2;"Fog-Snow";322
2013-01-13;-2;-4;-6;-2;-3;-5;100;93;81;1021;1020;1018;19;9;3;24;8;NA;0.25;6;"Snow";59
2013-01-14;-3;-4;-6;-4;-6;-8;93;84;75;1019;1014;1011;13;9;2;19;11;NA;0;7;"Snow";122
2013-01-15;-2;-6;-9;-6;-8;-10;100;85;62;1012;1009;1008;14;8;2;21;10;NA;0;7;"Fog-Snow";97
2013-01-16;-3;-4;-7;-4;-5;-7;100;93;83;1015;1011;1009;7;3;1;21;13;NA;0.25;7;"Snow";53
2013-01-17;-1;-3;-5;-2;-3;-6;100;92;85;1020;1017;1014;11;6;1;14;10;NA;0;7;"Snow";14
2013-01-18;-2;-3;-4;-2;-4;-7;100;85;68;1019;1013;1008;26;10;5;27;13;NA;0;6;"Snow";80
2013-01-19;-4;-6;-7;-6;-8;-10;86;76;59;1008;1004;1003;18;11;6;32;26;NA;0;7;"Snow";93
2013-01-20;-4;-6;-8;-6;-8;-10;93;82;71;1004;1001;1000;14;11;10;29;24;NA;0;7;"";84
2013-01-21;-3;-4;-6;-4;-5;-8;100;89;73;1005;1002;1000;13;4;1;32;24;NA;2.03;7;"Snow";88
2013-01-22;-6;-7;-7;-8;-8;-9;93;83;72;1011;1007;1005;18;11;6;23;18;NA;0;7;"Snow";87
2013-01-23;-4;-7;-9;-7;-8;-9;100;86;69;1012;1011;1009;18;11;6;14;10;NA;0;7;"";42
2013-01-24;-2;-4;-7;-3;-5;-8;100;90;78;1021;1015;1011;14;9;6;11;6;NA;0;6;"";333
2013-01-25;-4;-8;-12;-6;-10;-13;100;86;62;1023;1021;1016;18;7;5;23;10;NA;0;NA;"Fog";100
2013-01-26;0;-6;-11;-3;-8;-12;93;80;61;1017;1012;1009;11;8;5;26;14;NA;0;6;"Snow";160
2013-01-27;4;1;-3;2;-1;-3;93;83;61;1010;1004;999;18;10;5;32;18;NA;2.03;7;"Rain-Snow";205
2013-01-28;5;3;2;2;1;0;93;82;71;1013;1009;1004;19;12;10;24;14;NA;0;3;"Rain";232
2013-01-29;11;7;2;10;6;0;100;85;66;1010;1005;1003;19;11;3;29;23;52;0;6;"Rain";239
2013-01-30;13;10;6;11;8;2;94;83;51;1005;1002;999;31;12;5;55;29;85;7.11;6;"Rain";257
2013-01-31;8;7;5;4;2;1;87;72;57;1011;1007;1003;31;13;10;42;32;66;0.76;5;"Rain-Thunderstorm";264
2013-02-01;7;4;1;4;3;0;100;82;61;1006;1000;991;19;11;8;37;23;58;4.06;7;"Rain-Snow";272
2013-02-02;3;2;0;2;1;-3;100;87;57;1010;1001;992;26;9;3;29;16;35;0;5;"Rain-Snow";304
2013-02-03;5;2;1;4;1;-1;100;83;61;1015;1010;1004;26;10;5;35;18;52;2.03;7;"Rain-Snow";273
2013-02-04;8;4;1;7;3;0;100;83;58;1006;1004;1001;19;9;3;40;21;55;3.05;6;"Rain";271
2013-02-05;6;3;0;2;0;-2;93;79;60;1004;997;994;31;15;8;35;26;58;2.03;5;"Rain-Snow";258
2013-02-06;4;1;-2;1;-2;-3;93;80;58;1002;998;996;31;17;10;21;11;NA;0;5;"Rain";248
2013-02-07;2;1;-1;1;-1;-3;100;90;70;1011;1007;1002;26;10;2;19;13;NA;0;6;"Rain-Snow";290
2013-02-08;1;-1;-2;-1;-2;-4;100;88;62;1016;1012;1010;26;11;3;16;10;NA;0;7;"Snow";305
2013-02-09;1;-1;-3;-2;-3;-4;100;86;60;1019;1017;1016;19;11;8;14;10;NA;0;6;"Snow";286
2013-02-10;1;-1;-3;-3;-5;-8;93;72;42;1018;1014;1010;31;13;8;21;10;NA;0;5;"Snow";156
2013-02-11;0;-3;-6;-5;-6;-7;93;74;55;1012;1009;1008;19;13;10;34;23;48;0;5;"";98
2013-02-12;1;-1;-3;-3;-5;-8;93;74;37;1019;1014;1011;14;10;3;24;16;NA;0;5;"Snow";42
2013-02-13;2;-1;-5;-2;-3;-5;100;85;54;1028;1024;1018;11;8;3;13;6;NA;0;7;"Snow";30
2013-02-14;1;-3;-6;-4;-6;-7;93;78;50;1028;1022;1015;14;7;3;29;11;NA;0;4;"Fog";130
2013-02-15;2;0;-2;1;-2;-5;93;86;64;1021;1017;1015;6;3;2;16;10;NA;0;7;"Rain-Snow";159
2013-02-16;4;2;1;4;3;1;100;98;91;1025;1023;1021;5;1;0;10;5;NA;0.51;7;"Fog-Rain";247
2013-02-17;4;2;1;3;2;0;100;95;81;1026;1025;1023;7;2;0;11;8;NA;0;7;"Fog-Rain";90
2013-02-18;4;2;0;1;-1;-4;95;78;47;1025;1022;1018;13;8;2;11;6;NA;0;6;"";214
2013-02-19;2;1;-1;2;-1;-3;100;91;78;1022;1016;1014;26;7;1;21;13;NA;1.02;7;"Rain-Snow";327
2013-02-20;0;-2;-3;-2;-4;-5;93;82;68;1027;1025;1021;26;12;5;21;13;NA;0.25;6;"Rain-Snow";11
2013-02-21;-1;-2;-3;-2;-4;-5;93;85;72;1027;1024;1022;31;10;1;21;13;NA;0;6;"Snow";28
2013-02-22;-2;-4;-6;-5;-6;-9;100;80;49;1023;1020;1018;14;11;8;26;13;NA;0;4;"Snow";53
2013-02-23;0;-3;-6;-1;-5;-8;100;82;65;1020;1016;1015;18;8;2;26;16;NA;0;7;"Snow";41
2013-02-24;1;0;-2;1;-1;-2;100;93;87;1020;1016;1014;13;6;1;18;13;NA;0.51;7;"Fog-Rain-Snow";33
2013-02-25;2;1;0;2;1;1;100;97;92;1028;1023;1019;5;2;0;21;13;NA;0.76;7;"Fog-Rain-Snow";53
2013-02-26;2;1;1;1;1;0;100;95;87;1034;1032;1028;5;3;1;19;13;NA;0;7;"Rain";62
2013-02-27;2;1;0;0;-1;-2;100;87;72;1034;1033;1032;14;9;1;16;11;NA;0.25;7;"Rain-Snow";76
2013-02-28;4;2;-1;1;-1;-1;100;85;65;1032;1028;1024;14;9;1;19;6;NA;0;7;"Rain";281
2013-03-01;3;1;-2;3;-1;-4;100;82;61;1027;1024;1022;26;10;1;26;14;NA;0;6;"Rain";300
2013-03-02;5;0;-4;-1;-2;-5;100;80;51;1027;1024;1021;26;12;6;21;10;NA;0;5;"Fog";284
2013-03-03;6;2;-2;2;-1;-4;100;79;50;1025;1022;1020;31;13;6;23;16;NA;0;6;"Rain";289
2013-03-04;8;2;-4;1;-2;-4;100;75;40;1025;1021;1016;26;16;7;21;8;NA;0;NA;"Fog";116
2013-03-05;13;5;-3;1;-2;-4;87;61;23;1017;1011;1007;31;27;19;16;11;NA;0;NA;"";126
2013-03-06;15;6;-3;2;-1;-3;100;65;20;1008;1005;1003;26;14;8;14;6;NA;0;NA;"Fog";80
2013-03-07;8;4;0;3;1;-1;93;78;53;1005;1004;1003;10;7;5;27;16;NA;0;7;"Rain";84
2013-03-08;4;2;1;2;1;-1;93;89;80;1007;1005;1004;11;8;3;35;24;47;2.03;7;"Rain";97
2013-03-09;1;1;0;1;-1;-2;100;92;82;1007;1003;1000;11;5;2;32;24;40;4.06;7;"Rain";102
2013-03-10;-1;-3;-5;1;-3;-7;100;92;77;1007;1002;999;26;5;1;26;18;NA;1.02;7;"Rain-Snow";59
2013-03-11;-3;-4;-6;-4;-7;-8;93;80;59;1009;1008;1006;26;11;3;26;14;39;0;6;"Snow";51
2013-03-12;-2;-5;-8;-6;-8;-11;93;75;46;1010;1007;1005;31;10;4;26;16;NA;0;6;"Snow";49
2013-03-13;0;-6;-12;-5;-9;-13;100;76;38;1008;1006;1004;31;15;8;14;5;NA;0;4;"Fog";278
2013-03-14;0;-3;-7;-3;-6;-11;100;79;39;1015;1011;1007;31;8;0;19;10;NA;0;5;"Fog-Snow";302
2013-03-15;1;-4;-9;-7;-9;-12;93;64;29;1017;1015;1014;31;15;10;14;8;NA;0;3;"Snow";233
2013-03-16;7;2;-3;-3;-6;-8;69;53;26;1017;1013;1009;26;14;10;29;16;NA;0;6;"Snow";143
2013-03-17;3;1;-1;0;-4;-7;100;68;43;1009;1004;998;26;10;1;39;23;50;2.03;7;"Snow";111
2013-03-18;6;2;-1;2;-1;-3;93;84;67;999;996;996;10;9;3;32;23;50;0;6;"Snow";97
2013-03-19;1;0;-2;-2;-3;-4;93;80;60;1004;999;996;19;11;10;16;11;NA;0;6;"";352
2013-03-20;1;-1;-2;-1;-3;-5;100;80;60;1011;1006;1004;31;10;0;23;13;NA;0.51;6;"Fog-Snow";69
2013-03-21;2;0;-2;-1;-2;-3;100;90;61;1022;1017;1012;11;8;2;11;6;NA;0.51;6;"Snow";322
2013-03-22;0;-2;-5;-3;-4;-7;100;80;56;1023;1022;1021;26;11;10;35;16;50;0;6;"Snow";81
2013-03-23;-2;-4;-6;-7;-12;-16;80;52;24;1026;1024;1022;31;16;10;45;34;61;0;5;"Snow";90
2013-03-24;1;-4;-9;-9;-14;-18;59;40;16;1026;1023;1020;31;28;26;45;32;61;0;NA;"";91
2013-03-25;2;-2;-6;-9;-11;-12;68;49;25;1022;1020;1018;31;19;10;43;32;63;0;3;"";83
2013-03-26;3;-1;-6;-8;-9;-11;74;52;25;1019;1017;1015;31;18;10;40;23;55;0;4;"";78
2013-03-27;4;-2;-7;-7;-10;-73;86;57;4;1022;1015;1013;31;24;10;35;18;50;0;6;"";78
