"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;4;2;7;5;1;94;87;65;1013;1005;1001;31;12;4;39;26;58;5.08;6;"Rain";215
2013-01-02;7;4;1;5;3;2;93;85;78;1028;1022;1014;31;14;10;24;16;NA;0;6;"Rain";225
2013-01-03;11;8;6;10;8;4;100;93;77;1035;1030;1026;31;8;2;26;21;NA;1.02;7;"Rain";240
2013-01-04;9;9;8;9;9;8;100;94;87;1036;1035;1034;11;5;2;23;14;NA;0.25;7;"Rain";263
2013-01-05;8;8;7;8;7;6;100;94;87;1035;1034;1033;10;6;3;16;10;NA;0;7;"Rain";268
2013-01-06;9;8;7;8;7;6;100;92;82;1034;1031;1029;18;7;5;16;11;NA;0;7;"Rain";258
2013-01-07;9;8;7;8;7;5;98;88;75;1031;1028;1027;26;8;2;16;10;NA;0;7;"Rain";238
2013-01-08;8;7;5;6;5;4;100;87;78;1027;1026;1024;18;9;3;21;13;NA;0;7;"Rain";230
2013-01-09;6;6;5;6;4;3;100;91;79;1025;1021;1017;19;8;2;21;14;NA;4.06;8;"Rain";222
2013-01-10;6;4;3;4;3;1;96;86;73;1017;1013;1011;26;12;6;16;11;NA;0;6;"Rain";256
2013-01-11;2;-1;-3;2;-3;-5;100;85;65;1020;1017;1012;31;12;9;21;8;NA;0;4;"Fog-Rain-Snow";1
2013-01-12;2;-2;-7;-3;-6;-8;100;79;49;1020;1018;1017;31;17;10;16;6;NA;0;2;"";106
2013-01-13;1;-3;-6;-3;-6;-8;86;75;51;1019;1017;1016;31;13;10;21;11;NA;0;4;"";47
2013-01-14;-2;-3;-5;-2;-5;-8;99;85;72;1017;1014;1009;18;8;2;23;8;NA;0;6;"Snow";273
2013-01-15;-1;-4;-7;-2;-4;-7;100;86;65;1009;1006;1004;26;7;1;27;18;NA;0.76;7;"Snow";88
2013-01-16;-3;-3;-4;-3;-4;-5;99;91;85;1014;1010;1007;5;3;2;14;11;NA;0.25;7;"Snow";348
2013-01-17;-2;-3;-4;-3;-4;-6;94;88;84;1019;1017;1014;7;4;3;16;10;NA;0;7;"Rain-Snow";353
2013-01-18;0;-2;-5;-3;-4;-7;94;82;64;1017;1010;1003;31;11;8;21;11;NA;0;6;"Fog-Snow";64
2013-01-19;-3;-4;-5;-5;-7;-9;80;74;66;1003;999;998;26;13;10;26;18;NA;0;7;"";61
2013-01-20;0;-3;-7;-2;-6;-9;94;84;72;999;995;993;19;8;1;24;19;NA;2.03;7;"Rain-Snow";55
2013-01-21;0;-1;-2;-1;-2;-3;100;91;85;1001;998;995;7;5;2;16;11;NA;0;7;"Snow";118
2013-01-22;1;-1;-3;-2;-3;-4;94;86;69;1008;1004;1001;7;6;5;11;6;NA;0;7;"Snow";11
2013-01-23;-1;-2;-3;-3;-4;-6;90;80;66;1011;1009;1007;7;5;5;14;8;NA;0;6;"Snow";17
2013-01-24;-2;-4;-6;-4;-6;-8;93;82;72;1020;1015;1010;14;10;6;21;13;NA;0;6;"";21
2013-01-25;-2;-2;-3;-3;-4;-6;95;83;69;1021;1019;1013;26;9;1;23;8;40;0;7;"Fog-Rain-Snow";80
2013-01-26;0;-2;-4;-1;-4;-6;100;81;64;1013;1011;1009;26;11;3;34;24;48;0;7;"Rain-Snow";158
2013-01-27;4;2;-1;3;1;-2;95;86;75;1013;1005;1001;26;12;5;35;21;53;3.05;7;"Rain-Snow";174
2013-01-28;6;3;0;3;2;-1;93;84;72;1014;1011;1006;31;15;10;32;18;NA;0.25;6;"Rain";190
2013-01-29;12;8;3;10;8;3;96;88;73;1009;1008;1006;31;12;6;45;31;61;6.1;7;"Rain";216
2013-01-30;13;11;9;11;8;4;94;79;56;1014;1007;1004;31;12;5;47;32;60;3.05;5;"Rain-Thunderstorm";233
2013-01-31;9;8;7;5;3;2;81;71;53;1016;1013;1009;31;14;10;50;32;64;0.51;5;"Rain";237
2013-02-01;8;6;3;6;4;2;100;86;68;1012;1002;992;26;11;7;29;21;NA;3.05;7;"Rain";214
2013-02-02;5;3;1;3;1;-2;95;82;52;1015;1005;995;31;11;6;29;16;NA;0.51;6;"Rain-Snow";304
2013-02-03;6;4;2;4;2;-2;95;85;54;1020;1015;1010;31;11;5;37;21;53;0.51;7;"Rain-Snow";253
2013-02-04;10;7;3;8;4;1;100;81;50;1011;1009;1008;31;9;4;32;24;47;0.51;7;"Rain";248
2013-02-05;5;3;1;3;1;-2;95;80;60;1009;1000;997;31;13;8;45;24;66;5.08;5;"Rain-Snow-Hail";231
2013-02-06;3;1;0;2;0;-1;100;91;75;1006;999;992;31;9;1;24;16;NA;5.08;6;"Rain-Snow";356
2013-02-07;4;2;-1;1;0;-1;96;88;68;1012;1010;1006;31;12;6;19;13;NA;0.25;5;"Rain-Snow";278
2013-02-08;2;1;-1;1;-1;-3;100;90;64;1018;1014;1011;19;7;0;19;11;NA;1.02;7;"Rain-Snow";316
2013-02-09;3;-1;-4;-1;-3;-5;100;89;69;1021;1019;1017;19;9;1;14;6;NA;0;5;"Fog-Snow";301
2013-02-10;2;-1;-4;-3;-6;-9;93;70;44;1018;1011;1004;31;19;10;32;19;48;0;4;"";146
2013-02-11;2;-1;-3;-6;-8;-10;74;54;33;1008;1003;1001;31;29;19;26;21;NA;0;NA;"";91
2013-02-12;0;-2;-4;-5;-7;-8;80;63;45;1019;1013;1008;18;12;10;24;13;NA;0;7;"Snow";51
2013-02-13;2;-1;-4;-2;-4;-7;93;75;56;1027;1024;1019;23;10;3;14;5;NA;0;6;"Snow";61
2013-02-14;2;-2;-6;-1;-6;-8;100;72;43;1027;1019;1014;23;9;1;34;21;55;0.25;7;"Rain-Snow";153
2013-02-15;4;1;-1;4;1;-1;100;96;93;1022;1018;1014;5;3;1;23;14;NA;0.76;7;"Rain-Snow";174
2013-02-16;6;4;3;6;3;2;100;94;84;1025;1023;1022;11;5;1;11;8;NA;1.02;7;"Fog-Rain";258
2013-02-17;7;3;0;3;2;-1;100;86;59;1025;1024;1022;31;9;1;16;8;NA;0;6;"Fog-Rain";41
2013-02-18;6;1;-4;0;-2;-4;100;80;45;1023;1022;1020;31;16;10;18;6;NA;0;4;"Fog";37
2013-02-19;4;1;-2;3;0;-3;100;87;76;1021;1018;1016;31;9;3;29;6;NA;1.02;7;"Rain";291
2013-02-20;2;-1;-3;-1;-4;-6;93;73;52;1026;1024;1020;31;14;10;23;13;NA;0;4;"Snow";40
2013-02-21;1;-1;-3;-3;-5;-6;86;71;54;1026;1023;1021;31;13;2;29;16;NA;0;5;"Snow";36
2013-02-22;0;-2;-4;-5;-7;-8;80;69;52;1022;1018;1016;31;12;3;27;19;42;0;5;"Snow";43
2013-02-23;-1;-3;-4;-2;-6;-8;95;77;64;1017;1016;1015;14;9;3;29;18;NA;0;6;"Snow";19
2013-02-24;1;-1;-2;1;-1;-2;100;92;87;1019;1016;1014;8;6;3;19;14;NA;0.51;7;"Rain-Snow";353
2013-02-25;2;1;0;2;1;0;97;93;87;1026;1021;1018;8;6;3;21;14;NA;1.02;7;"Rain-Snow";23
2013-02-26;5;2;-1;2;1;-2;100;89;76;1032;1030;1026;11;7;3;24;13;NA;0;7;"Fog-Rain";31
2013-02-27;1;1;0;1;-1;-1;96;87;80;1033;1032;1030;14;8;3;23;16;NA;0;8;"Rain";46
2013-02-28;6;3;1;1;-1;-2;87;77;59;1031;1028;1026;31;12;10;14;10;NA;0;7;"";20
2013-03-01;4;2;1;3;-1;-2;100;78;58;1027;1026;1025;26;10;3;14;8;NA;0;7;"Rain";344
2013-03-02;5;3;1;-2;-3;-4;81;66;49;1027;1025;1024;26;12;8;11;6;NA;0;6;"";343
2013-03-03;4;2;-1;2;-1;-3;90;77;58;1025;1024;1023;26;11;6;14;8;NA;0;7;"Rain-Snow";145
2013-03-04;13;5;-3;-1;-3;-6;91;55;18;1024;1018;1013;31;27;23;29;14;NA;0;NA;"";125
2013-03-05;17;10;4;0;-2;-4;61;43;20;1014;1010;1006;31;31;31;29;21;NA;0;NA;"";149
2013-03-06;20;13;6;0;-2;-5;57;35;12;1007;1003;1000;31;31;31;24;13;NA;0;NA;"";110
2013-03-07;14;10;6;8;3;0;93;59;34;1001;999;998;26;14;8;19;8;NA;0;8;"Rain";68
2013-03-08;17;13;8;10;8;7;87;73;43;1000;999;998;19;10;8;19;13;NA;0.25;7;"Rain";124
2013-03-09;10;8;6;10;8;5;100;91;73;1001;999;997;19;8;3;26;16;NA;8.89;7;"Rain";218
2013-03-10;3;1;-1;5;0;-5;100;88;74;1005;1001;999;14;8;3;23;16;NA;1.02;7;"Rain-Snow";318
2013-03-11;-2;-2;-3;-4;-6;-8;88;73;57;1007;1006;1005;31;12;2;29;21;NA;0.25;7;"Snow";41
2013-03-12;-2;-3;-4;-4;-7;-9;94;76;53;1007;1005;1004;27;8;1;37;26;NA;0.76;7;"Snow";32
2013-03-13;1;-6;-12;-4;-8;-13;94;74;43;1010;1007;1005;31;14;5;11;6;NA;0;3;"Fog-Snow";276
2013-03-14;2;-2;-6;-2;-6;-10;100;77;36;1015;1012;1009;31;8;1;26;8;NA;0.51;3;"Fog-Snow-Hail";311
2013-03-15;3;-2;-8;-2;-6;-9;100;69;38;1017;1015;1013;26;13;10;24;10;NA;0;6;"Rain-Snow";163
2013-03-16;9;5;1;-2;-6;-10;81;43;18;1014;1009;1004;31;18;10;35;26;50;0;7;"Rain-Snow";151
2013-03-17;8;5;2;3;1;-7;93;74;30;1005;999;993;31;12;8;34;26;NA;0.51;6;"Rain";140
2013-03-18;12;8;3;3;-1;-3;85;58;26;995;993;992;31;12;10;26;16;NA;0;3;"Rain";169
2013-03-19;7;3;-1;4;1;-3;98;78;52;1002;998;994;31;12;9;21;10;NA;2.03;6;"Rain";186
2013-03-20;2;1;-1;2;1;-1;100;95;93;1013;1004;1000;11;3;0;21;11;NA;7.87;7;"Fog-Rain-Snow";16
2013-03-21;3;1;-1;0;-2;-4;97;80;46;1021;1018;1014;31;9;2;11;5;NA;0;6;"Snow";350
