"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;6;4;7;3;1;92;75;59;1015;1010;1008;31;19;5;26;19;NA;0.25;8;"Rain";-1
2013-01-02;7;3;-1;3;1;-1;100;85;67;1032;1025;1016;31;14;6;18;10;NA;0;6;"";205
2013-01-03;7;3;-1;6;3;0;97;89;75;1037;1034;1032;27;11;4;26;14;NA;2.03;7;"Rain";188
2013-01-04;9;7;5;8;7;5;98;92;87;1037;1036;1034;23;10;3;14;10;NA;0.25;7;"Rain";216
2013-01-05;9;8;8;8;6;5;89;77;68;1034;1033;1033;31;13;10;18;11;NA;0;8;"Rain";280
2013-01-06;9;8;6;7;6;5;93;82;69;1033;1030;1029;31;14;3;14;8;NA;0;7;"Rain";238
2013-01-07;10;8;5;6;5;4;95;85;71;1031;1029;1028;14;9;6;11;6;NA;0;6;"";152
2013-01-08;7;6;4;4;3;3;100;87;73;1028;1027;1026;21;9;1;16;10;NA;0;8;"Fog";224
2013-01-09;4;3;3;3;2;1;93;86;77;1027;1022;1019;18;9;6;14;10;NA;0.25;8;"Rain";207
2013-01-10;5;3;1;3;2;1;100;88;77;1019;1014;1012;29;12;6;16;11;NA;0;8;"Rain";218
2013-01-11;3;1;-1;2;-3;-6;98;68;47;1019;1016;1011;31;14;8;21;8;NA;0;6;"Rain-Snow";14
2013-01-12;1;-1;-3;-2;-3;-6;93;82;67;1020;1018;1017;23;11;3;11;3;NA;0;7;"Snow";125
2013-01-13;2;-1;-4;-3;-5;-7;80;65;44;1018;1016;1014;31;17;10;11;6;NA;0;7;"Snow";51
2013-01-14;-1;-3;-6;-3;-4;-6;95;78;58;1015;1014;1013;26;12;5;11;6;NA;0;7;"Snow";337
2013-01-15;2;-3;-7;-1;-3;-7;99;84;66;1013;1007;1004;14;8;2;18;8;NA;0.25;7;"Snow";160
2013-01-16;-1;-2;-3;-1;-3;-5;96;86;65;1011;1008;1007;10;5;1;14;10;NA;1.02;7;"Rain-Snow";345
2013-01-17;-1;-2;-4;-2;-4;-5;95;87;75;1016;1014;1011;10;6;2;21;14;NA;0.76;7;"Rain-Snow";344
2013-01-18;0;-1;-3;-2;-4;-6;92;75;61;1015;1009;1002;18;10;5;19;10;NA;0;7;"Snow";76
2013-01-19;-1;-1;-2;-5;-6;-6;80;70;59;1003;998;996;13;10;5;18;13;NA;0;7;"Rain-Snow";74
2013-01-20;1;-1;-3;-1;-4;-6;95;79;61;997;995;993;11;7;2;14;8;NA;10.92;7;"Rain-Snow";41
2013-01-21;1;0;-1;-1;-1;-2;100;93;81;1001;999;998;10;4;0;6;3;NA;1.02;7;"Snow";109
2013-01-22;1;0;-1;1;0;-1;100;97;87;1007;1004;1001;6;2;0;6;3;NA;0.51;8;"Fog-Rain-Snow";4
