"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;7;3;1;6;3;0;98;84;66;1017;1010;1007;31;11;9;29;21;47;5.08;6;"Rain";224
2013-01-02;4;1;-1;2;1;-1;100;91;80;1032;1025;1016;31;10;5;18;10;NA;0;6;"Rain";224
2013-01-03;5;3;1;4;3;0;100;93;84;1038;1034;1031;14;4;0;26;16;NA;0.51;7;"Fog-Rain";220
2013-01-04;8;6;4;8;6;4;100;95;93;1039;1037;1035;19;4;0;21;14;NA;0.51;7;"Fog-Rain";232
2013-01-05;6;6;5;7;5;4;100;94;87;1036;1034;1033;14;7;3;19;13;NA;0.25;7;"Rain";260
2013-01-06;7;6;4;6;4;3;100;90;79;1034;1031;1030;14;7;1;19;11;NA;0;7;"Fog-Rain";252
2013-01-07;9;6;2;6;3;1;100;89;58;1032;1029;1027;19;4;0;8;5;NA;0;6;"Fog";264
2013-01-08;3;2;1;3;2;1;100;93;87;1029;1027;1026;11;5;0;21;8;NA;0;7;"Fog-Rain";242
2013-01-09;2;1;1;2;0;-1;100;91;84;1028;1022;1018;10;7;2;16;8;NA;0.51;7;"Rain-Snow";237
2013-01-10;3;2;1;2;1;0;100;96;93;1020;1015;1011;10;2;0;19;13;NA;0.51;7;"Fog-Rain";230
2013-01-11;2;0;-2;2;0;-2;100;92;81;1018;1015;1010;10;5;0;18;6;NA;0;7;"Fog-Rain-Snow";258
2013-01-12;-2;-2;-3;1;-3;-5;100;88;80;1019;1016;1014;31;8;2;21;13;NA;0.51;7;"Rain-Snow";62
2013-01-13;-2;-3;-4;-4;-5;-7;93;84;76;1016;1014;1012;26;11;5;21;16;NA;0;6;"Snow";41
2013-01-14;-2;-4;-8;-6;-8;-10;93;77;47;1016;1013;1009;14;11;8;18;6;NA;0;4;"Snow";282
2013-01-15;-1;-5;-9;-2;-4;-7;100;90;76;1012;1005;1003;14;5;1;19;10;NA;3.05;7;"Snow";166
2013-01-16;-2;-4;-6;-3;-6;-9;97;84;60;1012;1008;1005;13;8;2;19;11;NA;0.25;6;"Snow";266
2013-01-17;-3;-5;-7;-5;-6;-7;88;81;70;1017;1014;1010;11;9;5;16;10;NA;0;6;"Snow";338
