"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;7;5;3;4;0;-2;81;68;46;1012;1007;1005;31;17;10;26;19;NA;0;7;"Rain";183
2013-01-02;5;3;2;4;1;-1;93;78;60;1028;1019;1010;31;13;10;29;18;40;0;6;"Rain";251
2013-01-03;8;6;3;7;3;-1;93;80;60;1028;1025;1023;31;14;7;35;23;48;3.05;6;"Rain";250
2013-01-04;9;8;7;8;6;4;100;87;73;1030;1026;1022;31;12;3;40;23;61;4.06;6;"Rain";289
2013-01-05;7;6;5;7;6;4;100;94;86;1029;1025;1022;11;7;3;35;24;53;0.76;7;"Rain";327
2013-01-06;7;6;4;7;5;4;100;97;88;1028;1023;1020;10;4;1;29;14;39;3.05;7;"Rain";305
2013-01-07;4;3;3;6;4;3;100;96;86;1028;1026;1023;10;5;1;21;11;NA;0.76;7;"Fog-Rain";86
2013-01-08;6;4;4;5;4;3;100;97;89;1027;1023;1021;10;4;1;18;10;NA;3.05;7;"Rain";248
2013-01-09;6;6;4;6;4;2;100;93;73;1023;1018;1010;26;7;2;21;11;NA;0.51;7;"Rain";247
2013-01-10;5;2;-1;3;1;-1;100;87;65;1012;1008;1004;26;10;2;29;19;42;0;6;"Rain-Snow";280
2013-01-11;-2;-3;-3;0;-3;-5;100;89;73;1017;1011;1006;31;11;2;21;16;NA;0.25;6;"Snow";296
2013-01-12;-3;-4;-6;-3;-4;-7;100;90;75;1020;1017;1014;19;9;0;18;10;NA;0;6;"Snow";287
2013-01-13;-4;-6;-6;-3;-7;-9;100;85;70;1021;1018;1017;24;11;5;16;10;NA;0;5;"Snow";73
2013-01-14;-3;-6;-8;-4;-7;-10;93;85;69;1020;1014;1011;23;9;5;14;11;NA;0;7;"Snow";102
2013-01-15;-2;-3;-4;-4;-6;-7;93;84;70;1013;1009;1007;14;9;6;14;10;NA;0;6;"Snow";122
2013-01-16;-3;-4;-5;-4;-4;-6;100;95;84;1011;1008;1006;8;3;1;16;6;NA;0;7;"Fog-Rain-Snow";24
2013-01-17;-3;-4;-5;-3;-4;-6;100;95;82;1016;1012;1009;13;5;0;18;10;NA;0.25;7;"Fog-Snow";7
2013-01-18;-3;-6;-7;-4;-8;-9;93;84;69;1016;1011;1006;18;10;6;26;18;NA;0;7;"Snow";60
2013-01-19;-8;-8;-8;-9;-9;-11;93;84;74;1009;1003;1001;11;8;5;24;16;NA;0;7;"Snow";75
2013-01-20;-6;-7;-8;-7;-8;-9;93;85;73;1004;1000;998;6;5;3;26;13;NA;0;7;"";70
2013-01-21;-7;-8;-8;-7;-8;-11;100;89;75;1005;1000;998;7;3;1;21;14;NA;2.03;7;"Snow";59
2013-01-22;-8;-9;-10;-9;-11;-12;93;86;75;1010;1006;1003;7;5;5;14;8;NA;0;7;"Snow";34
2013-01-23;-7;-8;-9;-9;-9;-10;93;87;71;1012;1009;1007;7;5;3;6;3;NA;0;7;"Rain-Snow";357
2013-01-24;-7;-8;-8;-8;-8;-9;100;90;75;1019;1012;1009;5;4;2;8;5;NA;0;7;"Snow";344
2013-01-25;-7;-10;-12;-8;-10;-14;100;87;68;1023;1020;1016;8;5;2;18;10;NA;0;6;"Snow";58
2013-01-26;-6;-9;-13;-10;-12;-14;93;79;56;1020;1014;1012;11;7;5;26;13;NA;0;NA;"";152
2013-01-27;0;-5;-10;0;-5;-12;100;83;67;1015;1008;1003;11;7;2;24;14;NA;0.25;7;"Snow";169
2013-01-28;4;1;-1;1;-1;-1;100;83;64;1017;1012;1005;26;12;2;21;13;NA;0;6;"Snow";228
2013-01-29;7;4;1;6;2;-1;93;80;65;1016;1010;1008;31;12;10;35;21;48;0.51;7;"Rain";226
