"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;8;7;5;5;3;2;84;69;60;1010;1005;1003;29;27;24;26;19;NA;0.25;8;"Rain";-1
2013-01-02;7;4;3;4;2;1;81;75;66;1026;1018;1011;31;25;14;18;13;NA;0.25;8;"Rain";-1
2013-01-03;11;7;4;9;6;2;89;81;67;1029;1025;1023;27;19;6;26;14;NA;0;8;"Rain";-1
2013-01-04;10;8;7;9;7;5;91;85;79;1030;1028;1025;31;14;5;26;13;NA;1.02;8;"Rain";-1
2013-01-05;8;8;7;8;7;6;97;90;81;1030;1028;1025;31;10;2;21;14;NA;0.51;8;"Rain";-1
2013-01-06;8;7;6;7;6;5;96;90;84;1029;1026;1023;26;10;3;14;11;NA;2.03;8;"Rain";-1
2013-01-07;7;6;6;6;5;4;94;87;79;1028;1027;1026;31;13;5;11;6;NA;0;8;"Rain";-1
2013-01-08;7;7;6;7;6;4;100;90;83;1026;1023;1022;10;6;3;14;8;NA;0;8;"Rain";-1
2013-01-09;8;7;6;7;6;5;97;92;85;1023;1018;1013;26;8;3;18;8;NA;2.03;8;"Rain";-1
2013-01-10;6;3;0;3;2;-3;91;80;70;1012;1010;1007;31;22;10;21;13;NA;0;8;"Rain-Snow";-1
2013-01-11;0;-1;-2;-2;-3;-4;88;78;70;1017;1014;1010;31;24;10;11;10;NA;0;8;"Snow";-1
2013-01-12;0;-2;-4;-3;-3;-5;92;82;69;1021;1019;1018;31;16;8;11;6;NA;0;8;"Snow";-1
2013-01-13;-1;-2;-3;-2;-4;-7;94;81;69;1021;1020;1020;16;10;3;11;6;NA;0.51;8;"Snow";-1
2013-01-14;-2;-4;-7;-4;-6;-8;92;83;67;1020;1016;1012;11;5;2;11;6;NA;0;8;"Snow";-1
2013-01-15;-3;-8;-13;-5;-8;-14;95;86;73;1012;1011;1009;8;4;0;11;5;NA;0;8;"Fog";-1
2013-01-16;-3;-3;-4;-4;-4;-5;93;87;77;1013;1011;1010;3;3;2;11;8;NA;0.51;8;"Rain-Snow";-1
2013-01-17;0;-2;-4;-1;-3;-4;97;86;71;1019;1016;1013;8;5;2;14;8;NA;0;8;"Rain-Snow";-1
2013-01-18;-1;-2;-5;-2;-5;-8;86;75;67;1018;1014;1010;31;16;6;14;10;NA;0;8;"Rain-Snow";-1
2013-01-19;-6;-6;-7;-7;-9;-9;79;70;63;1009;1006;1004;16;12;3;14;11;NA;0;8;"Snow";-1
2013-01-20;-4;-6;-8;-7;-8;-9;81;73;62;1004;1003;1002;13;9;6;14;11;NA;0;8;"Rain-Snow";-1
2013-01-21;-3;-4;-6;-4;-6;-7;93;85;75;1005;1003;1002;11;6;2;14;11;NA;2.03;8;"Rain-Snow";-1
2013-01-22;-6;-7;-7;-7;-9;-9;85;74;65;1011;1009;1006;14;10;6;11;8;NA;0;8;"Rain-Snow";-1
2013-01-23;-5;-6;-7;-7;-8;-9;83;78;70;1012;1011;1011;11;7;5;6;3;NA;0;8;"Rain-Snow";-1
2013-01-24;-3;-4;-6;-6;-6;-7;86;78;68;1020;1015;1012;10;6;3;11;5;NA;0;8;"Rain-Snow";-1
2013-01-25;-4;-9;-13;-8;-11;-14;93;80;57;1024;1022;1020;6;3;2;11;6;NA;0;8;"Fog";-1
2013-01-26;-3;-8;-13;-6;-9;-14;90;79;68;1019;1015;1011;10;4;2;14;10;NA;0;8;"";-1
2013-01-27;4;-2;-6;2;-2;-6;92;80;70;1011;1007;1002;16;6;2;18;11;NA;2.03;8;"Rain-Snow";-1
2013-01-28;6;3;-1;1;1;-1;90;77;62;1015;1011;1005;31;20;10;14;10;NA;0;8;"";-1
2013-01-29;8;4;2;6;3;0;94;82;70;1013;1007;1006;31;19;5;21;14;NA;0.25;8;"Rain";-1
2013-01-30;13;9;6;9;7;3;88;76;62;1006;1003;1001;14;11;8;26;18;NA;1.02;8;"Rain";-1
2013-01-31;8;6;3;4;2;1;83;61;45;1010;1007;1004;19;13;5;35;27;NA;3.05;8;"Rain-Snow";-1
2013-02-01;7;6;4;4;3;1;97;74;52;1006;1001;990;31;18;3;32;19;NA;3.05;8;"Rain";-1
2013-02-02;4;1;-1;3;0;-3;98;85;58;1009;999;990;29;13;2;21;8;NA;0.25;8;"Rain-Snow";-1
2013-02-03;3;0;-3;1;-1;-3;98;82;58;1014;1011;1005;31;18;2;26;10;NA;0;8;"Rain-Snow";-1
2013-02-04;8;4;1;6;3;1;95;81;64;1006;1004;1001;31;20;6;26;16;NA;3.05;8;"Rain";-1
2013-02-05;6;3;1;2;0;-2;81;73;58;1005;999;995;31;31;31;26;18;NA;0;8;"Rain-Snow";-1
2013-02-06;4;1;-3;-2;-3;-3;86;73;50;1002;999;998;31;24;18;14;10;NA;0;8;"";-1
2013-02-07;3;1;0;0;-1;-2;89;81;71;1010;1006;1002;31;17;5;11;8;NA;1.02;8;"Rain-Snow";-1
2013-02-08;1;0;-1;-1;-2;-3;94;85;71;1015;1012;1010;31;11;2;11;6;NA;0.25;8;"Rain-Snow";-1
2013-02-09;1;-1;-3;-1;-2;-4;96;88;74;1019;1017;1015;23;8;2;11;6;NA;1.02;8;"Rain-Snow";-1
2013-02-10;1;-2;-4;-3;-4;-5;100;83;56;1019;1016;1013;14;6;3;14;5;NA;0;8;"Snow";-1
