"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Dew_PointC";"MeanDew_PointC";"Min_DewpointC";"Max_Humidity";"Mean_Humidity";"Min_Humidity";"Max_Sea_Level_PressurehPa";"Mean_Sea_Level_PressurehPa";"Min_Sea_Level_PressurehPa";"Max_VisibilityKm";"Mean_VisibilityKm";"Min_VisibilitykM";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"Max_Gust_SpeedKm_h";"Precipitationmm";"CloudCover";"Events";"WindDirDegrees"
2013-01-01;7;4;2;4;2;-1;93;74;55;1012;1006;1004;31;16;10;43;29;NA;0;7;"Rain";220
2013-01-02;5;3;1;2;1;-1;93;80;67;1029;1020;1012;10;10;10;32;19;NA;0;5;"Rain";233
2013-01-03;8;5;2;6;4;0;93;84;71;1031;1027;1024;31;12;9;47;27;47;0.51;6;"Rain";238
2013-01-04;9;8;7;8;7;6;93;88;81;1032;1030;1027;31;14;10;39;24;NA;0;7;"Rain";268
2013-01-05;8;7;6;6;6;5;93;88;80;1030;1028;1026;31;15;2;34;26;NA;0;7;"Rain";301
2013-01-06;7;6;5;6;5;4;100;93;82;1031;1026;1023;19;10;2;34;18;NA;0.25;7;"Rain";284
2013-01-07;7;6;4;5;4;2;93;85;66;1029;1027;1026;31;14;10;26;14;NA;0;7;"Rain";283
2013-01-08;5;4;4;5;4;3;100;92;81;1027;1024;1022;19;10;3;26;13;NA;2.03;7;"Rain";245
2013-01-09;6;4;3;5;4;2;100;93;81;1024;1019;1013;31;10;3;29;19;NA;0;7;"Rain";242
2013-01-10;3;1;-1;2;1;-2;100;88;70;1015;1010;1006;31;13;1;35;23;NA;0.51;6;"Rain-Snow";272
2013-01-11;-1;-2;-4;-2;-5;-7;93;79;61;1019;1014;1009;31;13;6;21;14;NA;0;6;"Snow";311
2013-01-12;-1;-4;-7;-5;-6;-8;93;78;51;1021;1018;1016;31;13;10;16;10;NA;0;4;"Snow";286
